OrgSize_Empl219,WorkWeekHrs,YearsCodePro,Age1stCode,Country_Canada,Age,JobFactors_Idealist,LanguageWorkedWith_C,Country_Netherlands,Country_Finland,Country_France,ConvertedComp
0,40.0,13.0,20.0,0,33.0,0,0,0,0,0,91606.0
0,45.0,1.0,16.0,0,31.0,0,0,0,0,1,179915.0
0,40.0,5.0,22.0,1,28.0,0,1,0,0,0,45830.0
0,40.0,0.0,30.0,0,31.0,0,0,1,0,0,38955.0
0,30.0,7.0,14.0,0,30.0,0,0,0,0,0,45830.0
0,40.0,15.0,8.0,0,42.0,0,1,0,0,0,91593.0
0,37.5,9.0,14.0,0,30.0,0,0,0,0,0,85051.0
0,38.85731132075472,2.0,21.0,1,28.0,0,0,0,0,0,45372.0
0,38.0,20.0,10.0,0,43.0,1,0,0,0,0,91660.0
1,40.0,8.0,16.0,1,27.0,0,1,0,0,0,48121.0
0,40.0,5.0,19.0,1,29.0,0,0,0,0,0,30552.0
1,40.0,2.0,10.0,0,27.0,1,0,0,0,0,15564.0
0,25.0,2.0,20.0,0,30.0,0,1,0,0,0,21984.0
1,40.0,6.0,13.0,0,29.0,0,0,0,0,0,32429.0
0,30.0,9.0,14.0,0,32.0,0,0,0,0,1,121010.0
0,38.5,8.0,10.0,0,32.0,1,0,0,0,0,57287.0
0,45.0,15.0,6.0,1,38.0,0,0,0,0,0,60152.0
0,36.0,5.0,16.0,0,25.0,1,0,0,0,0,64860.0
0,40.0,3.0,11.0,1,29.0,1,0,0,0,0,51559.0
0,37.5,5.0,12.0,0,24.0,0,0,0,0,1,56723.0
0,40.0,7.0,16.0,0,30.0,0,0,0,0,0,39876.0
0,38.0,38.0,17.0,0,60.0,0,0,0,0,0,71340.0
0,40.0,10.0,18.0,0,33.0,1,0,1,0,0,68041.0
0,40.0,36.0,16.0,0,56.0,1,0,0,0,0,131844.0
0,37.0,2.0,20.0,0,25.0,0,0,0,0,0,38778.0
1,50.0,2.0,12.0,0,22.0,0,0,0,0,1,38169.0
0,37.5,5.0,14.0,0,26.0,0,1,0,0,0,47105.0
0,40.0,5.0,15.0,0,23.0,0,0,0,0,0,50806.0
1,40.0,6.0,16.0,0,28.0,0,0,0,0,0,85051.0
0,48.0,33.0,21.0,0,64.0,1,0,0,0,0,77832.0
0,37.0,3.0,24.0,0,28.0,0,0,0,0,0,52996.0
1,40.0,2.0,15.0,0,29.0,0,0,0,0,0,38169.0
1,30.0,9.0,14.0,0,29.0,0,1,0,0,0,37128.0
0,40.0,7.0,14.0,0,34.0,0,0,0,0,0,76339.0
0,45.0,4.0,8.0,0,33.0,0,0,0,0,0,70337.0
1,40.0,12.0,8.0,0,37.0,0,1,0,0,0,81074.0
0,35.0,2.0,16.0,0,26.0,1,0,0,0,1,35400.0
0,40.0,26.0,12.0,0,51.0,0,0,1,0,0,108098.0
0,70.0,9.0,16.0,0,25.0,0,0,0,0,0,171862.0
1,40.0,1.0,16.0,0,29.0,0,0,0,0,0,39254.0
0,40.0,8.0,8.0,0,29.0,0,0,0,0,0,98135.0
0,40.0,25.0,18.0,0,49.0,0,0,0,0,0,114575.0
0,48.0,5.0,15.0,1,28.0,0,0,0,0,0,16500.0
0,32.0,8.0,14.0,0,31.0,0,0,0,0,0,47736.0
0,40.0,25.0,16.0,0,52.0,0,0,0,0,0,68748.0
0,37.0,20.0,10.0,1,48.0,0,0,0,0,0,51704.0
1,40.0,6.0,12.0,0,30.0,0,0,0,0,0,55130.0
0,38.0,10.0,15.0,0,28.0,0,0,0,0,0,71966.0
0,40.0,25.0,14.0,0,49.0,0,0,0,0,0,19452.0
0,20.0,3.0,13.0,0,20.0,0,0,0,0,1,20076.0
0,38.0,1.0,13.0,0,23.0,1,0,0,0,0,39424.0
0,37.5,4.0,12.0,0,28.0,1,0,0,0,0,38778.0
0,46.0,30.0,18.0,1,58.0,0,0,0,0,0,137649.0
0,40.0,10.0,22.0,0,36.0,0,0,0,0,0,62807.0
1,40.0,11.0,8.0,0,37.0,1,0,0,0,0,82494.0
0,40.0,6.0,18.0,0,30.0,1,0,0,0,0,90758.0
0,37.5,21.0,10.0,0,50.0,0,0,0,0,0,49160.0
0,37.5,18.0,14.0,1,45.0,0,0,0,0,0,32081.0
0,40.0,1.0,11.0,1,24.0,1,1,0,0,0,49160.0
0,40.0,20.0,21.0,1,42.0,0,0,0,0,0,39250.0
0,60.0,10.0,15.0,0,28.0,1,0,0,0,0,39254.0
0,40.0,4.0,4.0,0,31.0,0,1,0,0,0,86220.0
0,35.0,3.0,16.0,0,40.0,0,1,0,0,0,45396.0
0,37.5,11.0,22.0,0,33.0,0,0,0,0,0,85051.0
0,35.0,0.0,26.0,0,27.0,0,0,1,0,0,48950.0
0,40.0,10.0,8.0,0,33.0,0,1,0,0,0,76339.0
0,40.0,0.0,16.0,0,23.0,0,1,0,0,0,45396.0
0,45.0,17.0,16.0,0,37.0,0,0,0,1,0,57287.0
0,40.0,0.0,14.0,0,20.0,0,0,0,0,0,10308.0
0,40.0,4.0,10.0,1,23.0,0,0,0,0,0,42804.0
0,45.0,3.0,14.0,0,28.0,0,0,0,0,0,97942.0
0,40.0,11.0,14.0,0,29.0,0,0,0,0,0,62365.0
0,40.0,2.0,19.0,0,23.0,1,1,1,0,0,21952.0
0,40.0,30.0,15.0,0,52.0,0,0,1,0,0,30535.0
0,40.0,2.0,13.0,1,28.0,0,0,0,0,0,47712.0
0,35.0,4.0,10.0,0,49.0,0,0,0,0,0,45379.0
0,35.0,17.0,15.0,0,39.0,0,1,1,0,0,53361.0
1,70.0,28.0,10.0,0,46.0,0,0,0,0,0,81125.0
1,50.0,5.0,13.0,1,23.0,0,0,0,0,0,19248.0
1,40.0,10.0,10.0,1,35.0,1,1,0,0,0,85705.0
0,50.0,14.0,12.0,0,38.0,0,0,0,0,1,57744.0
0,40.0,8.0,12.0,0,28.0,1,0,0,0,0,57180.0
0,40.0,22.0,6.0,0,40.0,0,0,0,0,0,64859.0
0,38.0,2.0,17.0,0,23.0,0,1,0,0,1,27444.0
1,10.0,2.0,11.0,0,20.0,1,1,1,0,0,5832.0
0,40.0,6.0,18.0,0,29.0,0,0,0,0,0,44748.0
0,50.0,3.0,10.0,0,37.0,0,0,1,0,0,155111.0
0,50.0,9.0,19.0,1,32.0,1,0,0,0,0,83868.0
0,36.0,16.0,11.0,0,46.0,1,0,1,0,0,123741.0
0,40.0,6.0,16.0,0,33.0,0,0,0,0,0,59579.0
0,37.0,6.0,19.0,0,28.0,1,0,0,0,0,40812.0
0,6.0,2.0,11.0,0,20.0,0,0,0,0,0,3708.0
0,42.5,10.0,16.0,0,32.0,0,1,0,0,1,57287.0
0,37.5,5.0,34.0,0,46.0,0,0,1,0,0,44488.0
0,40.0,10.0,7.0,0,47.0,0,0,0,0,0,43110.0
0,50.0,37.0,12.0,0,54.0,0,1,0,0,0,160000.0
1,40.0,20.0,23.0,0,44.0,0,0,1,0,0,46451.0
0,40.0,2.0,20.0,1,27.0,0,0,0,0,0,21996.0
0,40.0,31.0,16.0,0,52.0,1,0,0,1,0,99240.0
0,36.0,10.0,13.0,0,32.0,0,0,0,0,0,129718.0
0,40.0,10.0,16.0,0,30.0,0,0,0,0,0,113837.0
0,5.0,7.0,10.0,0,26.0,0,0,0,0,1,8020.0
0,45.0,14.0,16.0,0,33.0,0,0,0,0,0,105409.0
0,37.5,8.0,14.0,0,28.0,0,1,0,0,0,56264.0
0,40.0,10.0,9.0,0,35.0,1,0,0,0,0,117763.0
0,40.0,5.0,16.0,0,31.0,0,0,0,0,0,71966.0
0,40.0,13.0,10.0,0,33.0,0,0,0,0,0,106874.0
1,40.0,21.0,15.0,1,42.0,0,0,0,0,0,65424.0
0,38.0,8.0,10.0,0,28.0,1,0,0,0,0,130600.0
0,40.0,30.0,8.0,0,46.0,0,0,0,0,0,34050.0
1,38.0,13.0,19.0,0,35.0,0,0,0,0,1,97389.0
0,40.0,2.0,14.0,0,23.0,0,0,0,0,0,49068.0
0,37.5,17.0,11.0,1,34.0,0,0,0,0,0,23553.0
1,40.0,10.0,14.0,0,37.0,0,1,0,0,0,52248.0
0,40.0,19.0,11.0,0,36.0,0,1,0,0,0,50806.0
1,37.5,3.0,22.0,0,29.0,0,0,0,0,0,63245.0
0,40.0,24.0,12.0,0,44.0,1,0,0,0,0,183186.0
0,50.0,4.0,10.0,0,33.0,0,1,0,0,0,40563.0
1,45.0,10.0,16.0,1,44.0,0,0,0,0,0,38496.0
0,40.0,4.0,13.0,0,28.0,1,1,0,0,0,57744.0
0,40.0,3.0,8.0,0,38.0,0,0,0,0,0,149160.0
0,37.10531914893617,2.0,13.0,0,21.0,1,0,0,0,1,24744.0
0,40.0,15.0,8.0,1,37.0,1,0,0,0,0,78508.0
1,37.5,2.0,14.0,1,25.0,1,1,0,0,0,41871.0
0,40.0,5.0,19.0,0,31.0,0,1,0,0,0,74474.0
0,40.0,6.0,18.0,0,25.0,1,0,0,0,0,38169.0
1,38.5,7.0,17.0,0,39.0,0,0,0,0,0,41244.0
0,40.0,4.0,13.0,0,28.0,0,0,0,0,0,64162.0
0,50.0,0.0,10.0,0,33.0,0,0,0,0,0,35676.0
0,40.0,2.0,16.0,1,26.0,1,0,0,0,0,56751.0
0,40.0,5.0,14.0,0,28.0,0,0,0,0,0,81682.0
1,40.0,4.0,17.0,1,27.0,0,0,0,0,0,60725.0
0,40.0,3.0,12.0,0,30.0,0,0,0,0,0,52339.0
0,39.0,6.0,21.0,0,30.0,0,0,0,0,0,33000.0
0,30.0,4.0,13.0,0,30.0,1,1,0,0,0,17868.0
0,39.0,2.0,16.0,1,23.0,0,1,0,0,0,36753.0
0,50.0,25.0,11.0,0,48.0,1,1,0,0,0,80155.0
0,40.0,18.0,10.0,0,48.0,0,0,0,0,0,91608.0
0,40.0,3.0,23.0,1,30.0,1,0,0,0,0,45803.0
1,45.0,20.0,17.0,0,43.0,0,0,0,0,0,70264.0
0,45.0,30.0,18.0,0,52.0,0,0,0,0,1,111138.0
1,40.0,8.0,13.0,0,27.0,0,0,0,0,0,149941.0
0,50.0,22.0,6.0,0,35.0,0,0,0,0,0,122142.0
1,40.0,6.0,16.0,1,22.0,0,0,0,0,0,78508.0
0,50.0,16.0,15.0,0,39.0,1,1,0,0,0,68745.0
0,50.0,5.0,17.0,0,31.0,1,1,0,0,0,90758.0
1,45.0,25.0,14.0,0,46.0,1,1,0,0,0,99240.0
0,40.0,6.0,18.0,0,23.0,0,0,0,0,0,54767.0
0,40.0,17.0,15.0,0,41.0,0,1,0,0,0,74474.0
1,37.5,2.0,14.0,0,27.0,0,1,0,0,0,37946.0
0,70.0,19.0,14.0,0,50.0,1,0,0,0,0,64630.0
1,35.0,14.0,16.0,0,37.0,0,0,0,0,0,129720.0
1,42.0,21.0,6.0,0,41.0,1,0,0,0,0,80202.0
0,35.0,5.0,12.0,0,34.0,0,1,0,0,0,60492.0
0,35.0,20.0,7.0,0,44.0,0,0,0,0,0,66453.0
1,35.0,9.0,17.0,0,32.0,0,0,0,0,0,117763.0
0,50.0,6.0,12.0,0,27.0,0,0,0,0,0,64859.0
0,45.0,23.0,12.0,0,42.0,0,1,0,0,0,101346.0
0,40.0,2.0,10.0,0,27.59752604166667,0,0,0,0,0,38150.0
0,40.0,7.0,15.0,0,24.0,0,0,0,0,0,50413.0
1,40.0,5.0,22.0,1,28.0,0,0,0,0,0,19627.0
0,40.0,13.0,16.0,0,37.0,0,1,1,0,0,76765.0
0,50.0,3.0,14.0,0,22.0,0,0,0,0,1,40070.0
0,40.0,0.0,23.0,0,29.0,1,0,0,0,1,28872.0
0,35.0,3.0,11.0,0,26.0,0,1,0,0,0,38916.0
0,40.0,2.0,23.0,0,26.0,0,1,1,0,0,64859.0
0,32.0,6.0,13.0,0,35.0,0,0,0,0,0,120000.0
0,40.0,4.0,20.0,0,32.0,1,0,0,0,0,46482.0
0,42.0,5.0,12.0,0,32.0,0,0,0,0,1,43992.0
0,50.0,3.0,13.0,0,26.0,1,1,0,0,0,68068.0
0,40.0,20.0,19.0,0,55.0,1,0,0,0,0,76339.0
1,40.399014778325125,22.0,16.0,0,49.0,1,0,0,0,0,95000.0
0,35.0,8.0,14.0,0,30.0,1,1,0,0,1,46566.0
0,37.5,6.0,14.0,0,29.0,0,0,0,0,0,76339.0
0,40.0,4.0,12.0,0,27.0,1,0,0,0,0,55193.0
0,40.0,12.0,9.0,0,33.0,0,1,0,0,0,100752.0
0,20.0,5.0,14.0,0,29.0,1,0,0,0,0,12972.0
0,40.0,6.0,13.0,0,22.0,1,0,0,0,0,103057.0
1,38.0,10.0,12.0,0,28.0,0,0,0,0,0,68507.0
0,40.0,20.0,13.0,0,49.0,0,0,0,0,0,82488.0
0,38.0,22.0,8.0,0,48.0,0,1,0,0,0,86916.0
0,30.0,0.0,22.0,0,27.0,1,1,0,0,1,74970.0
0,37.0,6.0,13.0,0,27.0,0,1,0,0,0,64115.0
0,16.0,5.0,8.0,0,27.0,0,1,0,0,1,25944.0
0,40.0,4.0,12.0,0,25.0,0,1,0,0,1,54996.0
