ConvertedComp,Prediction
90758.0,65501.91157522172
193889.0,52380.363374582754
67021.0,63835.00279124351
43239.0,49002.23419597498
82726.0,88307.04988904124
90482.0,62378.10536635646
71093.0,89948.25902096019
84019.0,103933.80043375058
47826.0,67326.10561966877
29184.0,55965.588533633265
98321.0,87751.65633362184
129718.0,94951.92255769498
64859.0,99156.84017391037
64630.0,110621.33951775145
64630.0,76485.05729516955
51888.0,87077.42396710257
86478.0,92688.009703134
50806.0,62467.770816557255
60535.0,65792.48381238538
64630.0,85348.48111707793
104855.0,56557.59888453182
64287.0,63518.483949266054
71093.0,49859.587232915925
51888.0,78975.75976598835
51887.0,64904.26654907483
48644.0,53435.78554980906
64859.0,54024.078428698245
38915.0,52960.63391697392
46704.0,55699.56018143001
49296.0,77343.34557901515
59454.0,67845.6108016982
67129.0,72918.74449789681
113447.0,81378.65886063491
77290.0,62769.092875818846
54049.0,86509.38867218696
70264.0,50868.18572157611
54049.0,79160.04533308742
83875.0,85269.6101578053
77832.0,74617.25840607184
95126.0,51335.85794680058
51704.0,94934.57007400026
38916.0,71537.15735958086
70264.0,66729.06119984157
45241.0,50288.123579992876
59454.0,58277.10635478026
124792.0,110588.23616689816
27240.0,52337.14137305944
70264.0,62238.28228044388
77148.0,53621.70145631003
64630.0,70756.08015048354
37816.0,60278.69026120752
84019.0,80346.7821571592
45396.0,58342.783870302854
97288.0,66504.13303110776
58368.0,58101.97483986721
47628.0,52710.38299539525
56751.0,51445.57718205342
75631.0,62169.509487923104
62808.0,78477.42907442573
80925.0,65121.33325981386
43948.0,49413.248948598266
51240.0,73517.70305910046
72385.0,86511.81285497775
24958.0,68220.42360686269
83194.0,52584.68094986986
28536.0,48456.48085600505
129718.0,96597.71521516304
31128.0,62198.19601974954
71093.0,44540.55577830022
162147.0,58567.252219309456
77556.0,65404.115342876976
38916.0,75592.75305662128
77556.0,53754.94110287778
31078.0,48326.49434218613
64859.0,97453.56140487276
64859.0,69846.69584904294
15564.0,37180.70530364005
31128.0,85338.83739143936
54049.0,67586.66361579097
142185.0,84375.29217061138
64630.0,68614.30570828202
82680.0,49062.55000279778
90482.0,81998.90654860939
45379.0,73563.29212298329
38916.0,39993.783635970256
56345.0,53667.29074551344
105884.0,53786.25627802975
47648.0,49870.20847919593
75631.0,76472.42406372461
54455.0,61872.00023173842
78350.0,56027.78887203296
143699.0,66730.59452799236
82155.0,78079.38045532684
60505.0,51400.190354683524
51704.0,63911.56631811488
77556.0,67223.14341801645
38916.0,59696.179746637215
37834.0,28121.678564017475
48000.0,59360.38595161219
70858.0,53739.797134788736
75669.0,57984.88271392873
129720.0,84053.25973611975
35028.0,55950.71126508082
38778.0,44902.58246265529
85397.0,69791.84201926237
94539.0,87767.7464911065
64859.0,56703.71606884045
81074.0,68548.9193204991
32424.0,40601.461366798314
30480.0,49431.82072980299
45396.0,57083.2168716103
39996.0,62642.97873545663
54480.0,57973.094769800584
56211.0,50054.36658551194
35028.0,50238.790895321654
55130.0,70949.97916830456
59454.0,54179.99009863731
39424.0,50133.30899256823
28140.0,57678.776428428566
54289.0,63059.93263096692
54049.0,63174.52462982828
28536.0,57835.36475648354
51704.0,56751.33303480267
33732.0,66022.39255347665
72966.0,57564.1579795645
14268.0,48239.168471765624
64859.0,55124.830950479656
46698.0,64149.13583568671
50157.0,58764.775808618295
81074.0,60232.885959205916
28536.0,34206.22082557031
121200.0,83295.08124883025
80424.0,95480.86595671496
26886.0,48853.65858903961
44100.0,63873.21943189497
53184.0,60879.77495736027
54049.0,55405.755712857885
116333.0,85211.1699543507
103776.0,83796.47193529044
193889.0,68512.7615837542
90802.0,73289.1335423576
64859.0,73293.5061063608
102693.0,82675.79196593
51704.0,61688.334338038076
58368.0,67168.35268407347
62691.0,64276.93486484921
76940.0,55385.053177758404
48644.0,68301.9709047353
48167.0,58587.966385978536
51704.0,71863.09365444955
38916.0,53133.881759367054
97288.0,65370.14102066027
41363.0,54891.99779025984
64630.0,45449.78279474306
68748.0,57129.33290231019
18564.0,49473.59800615406
45241.0,56009.53224349984
96945.0,57840.74074298097
32424.0,85050.14080195365
59454.0,89567.42170736083
75669.0,70433.64211878012
38778.0,46026.366057522384
37620.0,51477.2523921796
56211.0,71535.98893731677
59454.0,56596.68970010353
62040.0,59668.98706312979
65940.0,61116.73191233355
57508.0,54531.192810161556
81074.0,83073.92047748715
41363.0,58352.798910288206
32315.0,52655.695287781775
48648.0,73755.40525312368
52428.0,56388.97318688568
69800.0,86778.53163996163
138308.0,74839.48707961306
64859.0,68554.33218158963
67008.0,89365.89973859781
93067.0,54256.1333252562
162147.0,76353.15127025175
43239.0,81093.54603069303
45241.0,50320.60954855504
103408.0,58738.11141438551
51887.0,52190.63643531423
86478.0,71183.5296074213
59454.0,62648.198736129176
29832.0,53921.090896542715
34900.0,43710.06928735569
38916.0,52989.05710049464
35672.0,50164.93826756459
97288.0,79740.14872268819
129259.0,75854.81196442054
86916.0,86517.98343455687
77831.0,57410.86667065097
38915.0,47152.96577189785
30252.0,54870.45952592546
30376.0,59379.255191232005
64630.0,63934.46205760966
35028.0,53511.469221418054
84312.0,72386.38688445561
47023.0,55572.99797544174
55582.0,55314.92445959463
67452.0,80735.84583464007
75669.0,84133.40591382989
46482.0,52604.64915209455
41077.0,52661.29197631103
41077.0,49674.03853205462
51887.0,64215.38051043624
59454.0,49953.11387776865
45241.0,77519.44834885457
72426.0,61817.40269154347
65508.0,70658.04891573988
71340.0,60223.424025970446
77556.0,53382.90693338936
90758.0,94428.16666621994
52.0,70648.53979355432
32392.0,69847.77390014275
51704.0,59626.417727788765
51888.0,51737.51328440296
90758.0,62795.28816446712
83236.0,69712.00990566792
40212.0,58330.473780642795
90482.0,93776.19688571204
72426.0,61001.070776905
25850.0,103225.61554091296
91883.0,100141.89622281039
51888.0,57158.47902854324
143699.0,56847.0991900109
34790.0,50440.55771926561
46533.0,93586.01019317095
11350.0,34082.840295540824
54049.0,62359.4848906096
45396.0,65013.733000027096
65043.0,52556.91848401968
84316.0,57639.515994552996
102102.0,73331.61062542614
64859.0,57742.820858105275
55211.0,65015.599416513156
77900.0,53492.74149378515
45396.0,106305.48070912078
43239.0,58862.60749738684
64287.0,68297.94863819006
82155.0,42465.141153699595
46482.0,52869.71528235071
49917.0,56867.445021915846
77832.0,48661.893373469386
51704.0,47822.97404213811
58368.0,73269.48765441116
59459.0,68926.57470738525
74588.0,67881.55659058364
72984.0,56858.21153158076
60535.0,56898.79799400404
24156.0,47063.25357689146
56723.0,50837.66800819008
27920.0,41484.320984022845
40212.0,44740.49415485894
65043.0,83847.95703006702
54049.0,49769.63365985793
155112.0,77715.93695885658
71093.0,52063.1928949227
32424.0,70567.6128118993
51429.0,59856.98586139409
105884.0,53548.878995746076
67215.0,88926.91061910281
151337.0,85573.46856084054
38194.0,50243.22367074287
90482.0,54913.10763639892
51887.0,65921.13976043425
31020.0,83569.2944143921
35028.0,62938.55596049463
70264.0,46547.62582843511
58812.0,54728.77060788201
102693.0,69529.6512940687
49160.0,57298.17578781164
81074.0,74275.84224598535
47270.0,62138.98949527942
97288.0,95969.19136911823
25944.0,37802.11275530025
54049.0,56138.042504070116
32424.0,57872.19876525184
64859.0,70988.9048062562
116333.0,72497.12058985054
67021.0,57097.4866647791
60505.0,51543.1240968037
37620.0,56722.57637765015
83194.0,54027.63388952965
70692.0,82044.00524157904
46533.0,52134.56177705857
64287.0,81653.7010895064
54049.0,53064.5166500859
38916.0,50144.78543331868
68068.0,57837.51508162891
64630.0,84699.95680552883
45241.0,75658.59803188595
139918.0,53136.846472791105
71340.0,63383.93068234243
72385.0,57930.71850623525
46533.0,72638.423362534
86478.0,97123.7976179333
60505.0,61974.72537622179
80925.0,64531.09563642033
129720.0,70742.96844883007
10116.0,39459.94870212601
102102.0,54703.58693722511
19452.0,48701.804233334384
116333.0,81423.466759054
75669.0,66045.54823675503
86478.0,60595.891791109636
103408.0,94522.08346488696
61616.0,56629.6677106262
68507.0,73528.72999448072
77832.0,56972.54585200664
81074.0,72279.95309719641
51888.0,68847.35584621686
45241.0,79171.22896599202
105884.0,53322.87770443501
75669.0,59238.21208652011
151337.0,68898.82838024313
30216.0,49368.32259151923
68507.0,89454.48944646992
45396.0,65055.875045023844
40070.0,68090.19257381317
76536.0,73061.77114119331
64859.0,68523.99664645304
15564.0,68791.82890462624
59454.0,67276.395282233
64859.0,61488.491250685045
103776.0,106285.8089508719
53184.0,62080.6302469274
64859.0,70111.54821754074
77556.0,56633.82850340769
51888.0,85228.75539965232
22056.0,54692.48145570103
59454.0,65135.67351190955
81074.0,60335.343585704875
51888.0,71589.65943329924
102693.0,57004.32733384624
26184.0,83705.30809056741
59454.0,48464.14454834401
75669.0,75303.69863265232
